,Unnamed: 0,event_name,promoter,director,city,state,Start_Date,End_Date
14,14,North End Classic,White Mountain Road Club,John Garren,,,03/12/2005,03/13/2005
34,34,Sonoita Patagonia Time Trial,Saguaro Velo,Donald Melhado,,,07/03/2005,
95,95,Pilarcitos Stage Race,Pilarcitos Cyclesports,Thomas Simpson,,,04/02/2005,04/03/2005
121,121,Mount Hamilton Classic,San Jose Bicycle Club,,,,05/29/2005,
224,224,Dade Battle of Brilliance,Atlantic Shores Velo,Tim Molyneaux,,,02/26/2005,02/27/2005
283,283,Wood River Cup Race Series,Sun Valley Road and Dirt Camps. L.L.C.,William (Bill) Olson,,,06/01/2005,06/29/2005
526,526,Turtle Pond Circuit Race,Press Forward Cycling,Brad Sheehan,,,05/01/2005,
619,619,French Broad Cycling Classic,Asheville Bicycle Racing Club,Janet Trubey,,,07/22/2005,07/24/2005
625,625,Hobby Park 2005,Paul's Racing/Paul's Cycling & Fitness Inc.,Dale Harrell,,,09/18/2005,
693,693,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/16/2005,07/17/2005
751,751,Juris/Bank of America TN State Championship Omnium,TriStar Cycling Team,Brian Cote,,,09/17/2005,09/18/2005
840,840,"Alpine Valley Open, WORS #2","WORS Racing, LLC",Don Edberg,Alpine Valley Open,WORS #2,05/22/2005,
842,842,"Rome Around, WORS #3","WORS Racing, LLC",Don Edberg,Rome Around,WORS #3,06/05/2005,
845,845,"WORS CUP, WORS #6","WORS Racing, LLC",Don Edberg,WORS CUP,WORS #6,07/16/2005,07/17/2005
846,846,"Phillips Dirtfighter Classic, WORS #7","WORS Racing, LLC",Don Edberg,Phillips Dirtfighter Classic,WORS #7,07/24/2005,
847,847,"Calumet Sun Run, WORS #8","WORS Racing, LLC",Don Edberg,Calumet Sun Run,WORS #8,08/14/2005,
848,848,"Alterra Coffee Bean Classic, WORS #9","WORS Racing, LLC",Don Edberg,Alterra Coffee Bean Classic,WORS #9,08/28/2005,
849,849,"Kewaunee XC Adventure, WORS #10","WORS Racing, LLC",Don Edberg,Kewaunee XC Adventure,WORS #10,09/11/2005,
850,850,"Sunburst Showdown, WORS #11","WORS Racing, LLC",Don Edberg,Sunburst Showdown,WORS #11,09/25/2005,
878,878,La Vuelta De Bisbee,Thunder Mountain Cycling,Albert Hopper  Jr.,,,04/28/2006,04/30/2006
974,974,Five Wire Inc Mt Hamilton Classic,San Jose Bicycle Club,Franklin Smoot,,,05/28/2006,
1115,1115,Georgia Games,North Atlanta Riding Club,Alan Gabrielli,,,07/08/2006,07/09/2006
1168,1168,Proctor Cycling Classic,Peoria Bicycle Club,Gregory Springborn,,,06/30/2006,07/02/2006
1259,1259,Greenbrier Challenge,Potomac Velo Club,James Carlson,,,04/30/2006,
1284,1284,47th Annual Fitchburg Longsjo Classic,Fitchburg Cycling Club,Norman Gariepy,,,06/29/2006,07/02/2006
1311,1311,Nature Valley Grand Prix,Minnesota Bicycle Festivals,David LaPorte,,,06/14/2006,06/18/2006
1316,1316,Giro D' Rankin,MCDF,Gary Gray,,,06/10/2006,06/11/2006
1373,1373,Turtle Pond Circuit Race,Press Forward Cycling,Brad Sheehan,,,04/22/2006,
1396,1396,US Bicycling Hall of Fame Super Saturday,US Bicycling Hall of Fame,Vincent Menci,,,05/27/2006,
1451,1451,Tour de Parc,Kissena Cycling Club,Charles Issendorf,,,05/21/2006,
1457,1457,Blackfly Challenge,Adirondack Mountain Bike Association,Charles (Chip) Kiefer,,,06/10/2006,
1472,1472,2006 Empire State Games Cycling Events,Rochester Road Racing,Gary Toth,,,07/27/2006,07/30/2006
1561,1561,PICC Spring Training Series,Presque Isle Cycling Club,Dave Dennis,,,04/08/2006,05/14/2006
1602,1602,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/22/2006,07/23/2006
1682,1682,Fayetteville Stage Race,Southwest Cycling Club Racing,James McCowen,,,03/18/2006,03/19/2006
1729,1729,LOTOJA Classic,Epic Events Inc,Brent Chambers,,,09/09/2006,
2072,2072,Pleasant Valley Time Trial Training Series,JAT Racing LLC,James Thompson,,,05/08/2007,08/28/2007
2152,2152,Cherokee RR/TT Sandy Springs Classic,"North Georgia Cycling Association, Inc.",Robert Heath,,,05/26/2007,05/27/2007
2158,2158,Georgia State Games Cycling Road Race,Georgia Sports Foundation,Angie Taylor,,,07/07/2007,07/08/2007
2210,2210,Proctor Cycling Classic,Peoria Bicycle Club,Stephen Daggs,,,06/29/2007,07/01/2007
2335,2335,Tour of Walkersville,Annapolis Bicycle Racing Team,Douglas Shapter,,,03/31/2007,
2337,2337,Greenbrier Challenge,Potomac Velo Club,James Carlson,,,04/29/2007,
2361,2361,Boston Beanpot Cycling Classic,Massachusetts Institute of Technology,Caitlin Thompson,,,03/31/2007,04/01/2007
2370,2370,48th Annual Fitchburg Longsjo Classic,Fitchburg Cycling Club,Norman Gariepy,,,06/28/2007,07/01/2007
2430,2430,Mississippi Gran Prix,Palmer Cycling,Shane Kelly,,,04/20/2007,04/22/2007
2432,2432,Giro D'Rankin,MCDF,Gary Gray,,,05/12/2007,05/13/2007
2463,2463,Mercy Health Plans Loop Bike Race,Michelob Ultra - Big Shark Racing,Tim Ranek,,,09/03/2007,
2498,2498,Bozeman/Big Sky Cyclocross Weekend,Gallatin Valley Bicycle Club,Brad Morgan,,,10/13/2007,10/14/2007
2521,2521,Tour de Nez,Reno Wheelmen,Tim Healion,,,06/15/2007,06/16/2007
2527,2527,Turtle Pond Circuit Race,Press Forward Cycling,Brad Sheehan,,,04/21/2007,
2669,2669,Dixie Classic Criterium Series,Hearts Racing Club,Ken Putnam,,,03/27/2007,08/21/2007
2681,2681,Dragon's Challenge & NC Criterium Championship,Cross Creek Cycling Club-C4,Robert Havens,,,05/26/2007,05/28/2007
2687,2687,French Broad Cycling Classic -2007,Asheville Bicycle Racing Club,Richard Dunn,,,07/20/2007,07/22/2007
2778,2778,PICC Spring Training Series-Fairview,Presque Isle Cycling Club,Ken Bastine,,,04/07/2007,05/14/2007
2805,2805,"MABRA Track Title and DE , MD/DC, &  VA",Prince William Elite Racing (PoWER),Max Rogozinski,MABRA Track Title and DE ,&  VA,06/10/2007,
2827,2827,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/21/2007,07/22/2007
2900,2900,Settlers Life Omnium,Tri Cities Road Club,Dwayne Letterman,,,06/09/2007,06/10/2007
2998,2998,LOTOJA Classic,Epic Events Inc,Brent Chambers,,,09/08/2007,
3003,3003,2007 USA Cycling Mountain Bike Nationals,Mount Snow Ltd,Gregory Fisher,,,07/17/2007,07/22/2007
3298,3298,2008 USA Cycling Juniors U23 Elite Nationals,Team Velosport-CA,John (Jet) Tanner,,,08/06/2008,08/10/2008
3395,3395,Pleasant Valley Time Trial Training Series,JAT Racing LLC,James Thompson,,,05/13/2008,08/26/2008
3408,3408,Three Village Tour,Mohegan Sun Cycling,Michael Smith,,,09/20/2008,
3486,3486,Georgia State Games Cycling Road Race,North Atlanta Riding Club,Angie Taylor,,,07/12/2008,07/13/2008
3504,3504,Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,05/10/2008,
3533,3533,O'Fallon Grand Prix,Metro East Cycling,Steven Schmidt,,,05/31/2008,
3701,3701,Tour of Walkersville,Annapolis Bicycle Racing Team,Douglas Shapter,,,04/05/2008,
3703,3703,Greenbrier Challenge,Potomac Velo Club,James Carlson,,,04/27/2008,
3738,3738,49th Annual Fitchburg Longsjo Classic,Fitchburg Cycling Club,Norman Gariepy,,,07/03/2008,07/06/2008
3785,3785,Michigan State University XC Race,Michigan State University,Julian Simioni,,,09/13/2008,
3832,3832,"Washington, MO Criterium",Velo Force,Mark Rosen,Washington,MO Criterium,05/04/2008,
3906,3906,Omaha Cycling Weekend,Midwest Cycling Club Racing,Kent McNeill,,,07/12/2008,07/13/2008
3914,3914,High Sierra Hillclimb Time Trial Series,Alta Alpina Cycling Club,Shawn Pearson,,,05/18/2008,09/07/2008
3917,3917,Tour de Nez,Reno Wheelmen,Tim Healion,,,06/18/2008,06/21/2008
3938,3938,UNH Kingman Cross-Country Classic/ Double Downhill,University of New Hampshire,Jeffrey Lukach,,,09/20/2008,09/21/2008
3954,3954,US Bicycling Hall of Fame Super Saturday,US Bicycling Hall of Fame,Vincent Menci,,,05/24/2008,
3965,3965,Giro di Jersey,Van Dessel Factory Team,Thomas Licker,,,06/20/2008,06/22/2008
3993,3993,Hillsboro Classic (Omnium),ZiaVelo Cycling,David Rutledge,,,03/08/2008,03/09/2008
4099,4099,Dixie Classic Criterium Series- Part 1,Hearts Racing Club,Matthew Canter,,,03/25/2008,05/06/2008
4106,4106,2008 ACC Cycling Championship,Wake Forest University,John Shilt,,,04/19/2008,04/20/2008
4107,4107,Winston Salem Downtown Criterium,Wake Forest University,John Shilt,,,04/20/2008,
4127,4127,French Broad Cycling Classic -2008,Asheville Bicycle Racing Club,Will Sagar,,,07/18/2008,07/20/2008
4140,4140,Southern Classic Finals @Hobby Park,Paul's Racing/Paul's Cycling & Fitness Inc.,Dale Harrell,,,08/17/2008,
4174,4174,Bull Run Farms Road Race,Ghisallo Cycling Team Inc.,James Dennedy,,,05/04/2008,
4202,4202,Flint Ridge Circuit Race / Cowskin Road Race,Tulsa Wheelmen,John Allen,,,04/12/2008,04/13/2008
4233,4233,Phoenixville Fury & Philly Phlyer 2008 ECCC/ACCC W,Drexel University,Joseph Kopena,,,03/08/2008,03/09/2008
4251,4251,Turkey Hill Country Classic,Red Rose Races.Com,William Laudien,,,05/03/2008,
4257,4257,Millport Road Race,Red Rose Races.Com,Richard Ruoff,,,05/31/2008,
4275,4275,Brownstown Road Race,"PACE, Inc.",David Butterworth,,,06/28/2008,
4283,4283,Nicole Reinhart Memorial Tour de FCCC,Bicycling World,David Gulick,,,07/19/2008,07/20/2008
4285,4285,The Comeback Criterium,ERA Cycling,Saysana Inthavongsa,,,07/20/2008,
4289,4289,The Hammer Creek Road Race,ERA Cycling,Saysana Inthavongsa,,,08/02/2008,
4308,4308,Pine Grove Furnace Masters PA. TT,South Mountain Velo Club,I Mark Williams,,,09/13/2008,
4331,4331,Greenville Spring Series- Week 2,Greenville Spinners Bicycle Club,Richard Hincapie,,,03/01/2008,03/02/2008
4349,4349,South Carolina Time Trial Weekend,Low Country Velo Inc.,Donald Veitch,,,10/04/2008,10/05/2008
4359,4359,Cumberland & Vanderbilt Weekend Classic,Cumberland University,Timothy Hall,,,04/05/2008,04/06/2008
4367,4367,The Tomato Head Knoxville Omnium,Southern Cycling Operations (SCO),Steven Bacon,,,05/24/2008,05/25/2008
4368,4368,Settlers Life Omnium,Tri Cities Road Club,Janine Pleasant,,,06/07/2008,06/08/2008
4392,4392,"Mud, Sweat & Gears Cyclocross Series",Tri Cities Road Club,Dwayne Letterman,,,10/11/2008,12/13/2008
4400,4400,Ft. Sam Houston Cyclocross Challenge,Bike World Racing,Clay Snell,,,01/13/2008,
4551,4551,Baddlands Cooper Jones Twilight Series,Baddlands Cycling Club,Alex Renner,,,04/15/2008,08/26/2008
4785,4785,Sonora Road Race,Delta Velo,Lee Shuemake,,,05/03/2009,
4813,4813,Santa Barbara Bicycle Festival,"Team Big Bear Mtn Bikes, Inc.",Tom Spiegel,,,06/06/2009,06/07/2009
4815,4815,Friends of Tamarancho Invitational Mtn Bike Race,TWENTY16 Pro Cycling,Julia Violich,,,06/07/2009,
4881,4881,US Cup Unification Race,"Team Big Bear Mtn Bikes, Inc.",Tom Spiegel,,,09/20/2009,
5044,5044,2009 Georgia State Road Championship Weekend,"North Georgia Cycling Association, Inc.",Tim Smith,,,05/16/2009,05/17/2009
5053,5053,Georgia Games,Georgia Sports Foundation,Eric Pfeifer,,,07/11/2009,07/12/2009
5066,5066,2009 Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,05/09/2009,
5097,5097,O'Fallon Grand Prix,Metro East Cycling,Steven Schmidt,,,05/30/2009,
5265,5265,TOUR of the Red River Gorge-LAJRS,TOUR of the Red River Gorge,Cliff Cantrell,,,07/17/2009,07/19/2009
5285,5285,2009 LA-MS Team Time Trial Championships,Tiger Cycling Foundation,William Cheramie,intersection,LA991 & Gummers Ln.,08/08/2009,
5300,5300,Tour of Walkersville,Annapolis Bicycle Racing Team,Douglas Shapter,,,04/04/2009,
5302,5302,Greenbrier Challenge,Potomac Velo Club,James Carlson,,,04/26/2009,
5335,5335,50th Annual Fitchburg Longsjo Classic,Fitchburg Cycling Club,Norman Gariepy,,,07/02/2009,07/05/2009
5415,5415,The Bikery's Jackson Meadow Cyclocross,Chilkoot Velo,Olivier Vrambout,,,10/23/2009,
5428,5428,The Plein Air Classic,Oxford Cycling,Chris Mogridge,,,07/04/2009,07/05/2009
5442,5442,O'Fallon Gold Cup,Momentum Racing LLC - MO,Steven Maas,,,05/09/2009,
5478,5478,Unravel the Scratchgravel,Big Sky Cyclery-Helena,Chad Dexter,Scratchgravel District,BLM,05/17/2009,
5514,5514,Omaha Cycling Weekend,Midwest Cycling Club Racing,Kent McNeill,,,07/11/2009,07/12/2009
5524,5524,High Sierra Hillclimb Time Trial Series,Reno Wheelmen,Shawn Pearson,,,05/17/2009,08/09/2009
5526,5526,Tour de Nez,Herbalife p/b MarcPro-Strava,Tim Healion,,,06/18/2009,06/20/2009
5571,5571,US Bicycling Hall of Fame Super Saturday,US Bicycling Hall of Fame,Vincent Menci,,,05/23/2009,
5581,5581,Giro Di Jersey,"Colavita Racing, Inc.",Thomas Licker,,,06/17/2009,06/21/2009
5617,5617,Hillsboro Classic (Omnium),ZiaVelo Cycling,David Rutledge,,,03/14/2009,03/15/2009
5655,5655,Plattekill Mtn NYS CHAMPIONSHIP SERIES DH #1,Ski Plattekill Mtn.,Laszlo Vajtay,,,05/03/2009,
5679,5679,Plattekill Mtn NYS CHAMPIONSHIP SERIES DH #2,Ski Plattekill Mtn.,Laszlo Vajtay,,,06/14/2009,
5708,5708,Plattekill Mtn NYS CHAMPIONSHIP SERIES DH #4,Ski Plattekill Mtn.,Laszlo Vajtay,,,09/06/2009,
5716,5716,Plattekill Mtn NYS CHAMPIONSHIP SERIES DH #5,Ski Plattekill Mtn.,Laszlo Vajtay,,,09/20/2009,
5721,5721,Plattekill Mtn NYS CHAMP SERIES DH #6 & GE Finals,Ski Plattekill Mtn.,Laszlo Vajtay,,,10/11/2009,
5727,5727,Plattekill Mtn NYS CHAMPIONSHIP SERIES DH #7,Ski Plattekill Mtn.,Laszlo Vajtay,,,10/25/2009,
5738,5738,Wake Forest University Criterium,Wake Forest University,John Shilt,,,02/22/2009,
5741,5741,Hobby Park MTB Race,Paul's Racing/Paul's Cycling & Fitness Inc.,Dale Harrell,,,03/22/2009,
5747,5747,2009 ACCC Championships,Wake Forest University,John Shilt,,,04/18/2009,04/19/2009
5800,5800,Tour of the Valley,Carbon Racing,Erin Quinlan,,,07/10/2009,
5862,5862,New Holland Spring Training Criterium Series,All That Is Good,Richard Ruoff,,,03/01/2009,03/29/2009
5878,5878,Tour de Ephrata,All That Is Good,Richard Ruoff,,,04/25/2009,04/26/2009
5880,5880,Turkey Hill Country Classic,All That Is Good,Richard Ruoff,,,05/02/2009,
5888,5888,Conestoga Challenge Road Race,All That Is Good,Richard Ruoff,,,05/17/2009,
5897,5897,Fulton Road Race,All That Is Good,Richard Ruoff,,,05/30/2009,
5900,5900,Race Avenue Criterium,All That Is Good,Richard Ruoff,,,06/06/2009,
5917,5917,Millersville Road Race,All That Is Good,Richard Ruoff,,,06/28/2009,
5920,5920,Tour of Mt. Nebo,All That Is Good,Richard Ruoff,,,07/11/2009,
5924,5924,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/18/2009,07/19/2009
5933,5933,Tour of Lancaster County,All That Is Good,Richard Ruoff,,,08/01/2009,08/02/2009
5957,5957,Pine Grove Furnace Masters PA. TT,South Mountain Velo Club,I Mark Williams,,,09/19/2009,
6035,6035,"Mud, Sweat & Gears Cyclocross Series",Tri Cities Road Club,Dwayne Letterman,,,10/03/2009,12/12/2009
6057,6057,McKinney Velo / Jesuit Ranger Roundup,Texas High School Cycling League,Andrew Armstrong,,,03/08/2009,
6097,6097,The Austinbikes Pickle Criterium,Holland Racing,Andrew Willis,,,09/06/2009,
6266,6266,SuperWeek Pro Tour,"Breakaway Event Productions, LLC",Andy Garrison,,,07/10/2009,07/26/2009
6267,6267,International Cycling Classic,"Breakaway Event Productions, LLC",Andy Garrison,,,07/11/2009,07/26/2009
6402,6402,"Grand Junction, CO Criterium Series",Driver Racing,Mike Driver,Grand Junction,CO Criterium Series,03/31/2010,05/05/2010
6437,6437,2010 Last Chance Short Track/2010Final Call 4X-BMX,University of Colorado Boulder,Joe Schneider,,,10/02/2010,
6506,6506,Space Coast Cycling Festival,Atlantic Shores Velo,Abraham Pollard,,,05/15/2010,05/16/2010
6564,6564,Georgia Games,Georgia Sports Foundation,Eric Pfeifer,,,07/10/2010,07/11/2010
6582,6582,2010 Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,03/28/2010,
6587,6587,2010 Treasure Valley Omnium,Team Dobbiaco,Vernon Padaca,,,05/22/2010,05/23/2010
6602,6602,Riverstone CX Practice Series,Coeur d 'Alene Velo Racers (CDAVR),Michael Gaertner,,,09/01/2010,09/29/2010
6646,6646,"Pride, INC. Cyclocross Race #1",Wild Trak Bikes Racing,Mark Haggard,Pride,INC. Cyclocross Race #1,09/11/2010,
6650,6650,"Pride, INC. Cyclocross Race #2",Wild Trak Bikes Racing,Mark Haggard,Pride,INC. Cyclocross Race #2,09/25/2010,
6653,6653,"Pride, INC. Cyclocross Race #3",Wild Trak Bikes Racing,Mark Haggard,Pride,INC. Cyclocross Race #3,10/09/2010,
6659,6659,"Pride, INC. Cyclocross Race #4",Wild Trak Bikes Racing,Mark Haggard,Pride,INC. Cyclocross Race #4,10/23/2010,
6662,6662,"Pride, INC. Cyclocross Race #5",Wild Trak Bikes Racing,Mark Haggard,Pride,INC. Cyclocross Race #5,11/06/2010,
6665,6665,"Pride, INC. Cyclocross Race #6",Wild Trak Bikes Racing,Mark Haggard,Pride,INC. Cyclocross Race #6,11/20/2010,
6827,6827,Tour de Olmstead,2WheelSports,Michael Hewitt,,,06/12/2010,
6855,6855,Tour of Walkersville,Annapolis Bicycle Racing Team,Douglas Shapter,,,04/10/2010,
6897,6897,51st Annual Fitchburg Longsjo Classic,Fitchburg Cycling Club,Norman Gariepy,,,07/02/2010,07/05/2010
6968,6968,HollyWood Cycles/Summit Criterium,Silver Cycling,Steven Knowlton,,,07/06/2010,07/27/2010
6986,6986,Jackson Meadow Cyclocross,Chilkoot Velo,Michael Lyner,,,10/23/2010,
7021,7021,RMC Hellbender,Rolla Multisport Club,Paul Joyner,,,05/15/2010,05/16/2010
7022,7022,O'Fallon Gold Cup,Momentum Racing LLC - MO,Steven Maas,,,05/22/2010,
7098,7098,Omaha Cycling Weekend,Team Kaos Cycling,Kent McNeill,,,07/10/2010,07/11/2010
7105,7105,Sierra Nevada Hill Climb Time Trial Series,Reno Wheelmen,Spencer Ericksen,,,05/08/2010,08/08/2010
7108,7108,Tour de Nez,Truckee Bicycle Team,Tim Healion,,,06/17/2010,06/19/2010
7157,7157,The Hills of Somerset County Road Race,Middle Earth,Daniel Puntillo,,,05/29/2010,
7201,7201,Hillsboro Classic (Omnium),ZiaVelo Cycling,David Rutledge,,,03/06/2010,03/07/2010
7247,7247,GVCC TT,Genesee Valley Cycling Club,Todd Scheske,,,05/06/2010,09/23/2010
7260,7260,Kings County Kermesse,Kissena Cycling Club,Charles Issendorf,,,05/23/2010,
7281,7281,Race For The Wine,GS Mengoni U.S.A.,Charles Issendorf,,,07/18/2010,
7287,7287,NY Capital Region Road Race,Capital Bicycle Racing Club,Paul McDonnell,,,08/14/2010,
7317,7317,Storm King Cannibal,"Sparta Cycling, Inc.",John Eustice,,,10/10/2010,
7335,7335,Wake Forest University ACCC Race Weekend,Wake Forest University,Eric Haakonssen,,,02/20/2010,02/21/2010
7337,7337,Hobby Park MTB Race,Paul's Racing/Paul's Cycling & Fitness Inc.,Dale Harrell,,,03/21/2010,
7379,7379,Old Salem Criterium,Hearts Racing Club,Ken Putnam,,,09/11/2010,
7380,7380,Lees-McRae College Home Race,Lees-McRae College,Robert Jameson,,,09/11/2010,09/12/2010
7385,7385,Wake Forest University 'Cross p/b Ken's Bike Shop,Wake Forest University,James McCabe,,,10/16/2010,10/17/2010
7480,7480,Double Crossed,Villain CX,Josh Jewell,,,10/23/2010,10/24/2010
7548,7548,Nicole Reinhart Memorial Tour de FCCC,Salamander Racing,David Gulick,,,07/17/2010,07/18/2010
7563,7563,Chester County Criterium,Guys Racing Club,Charles Hanlon,,,08/22/2010,
7660,7660,ETJC Omnium,East TN Junior Cycling,Dennis Ley,,,07/10/2010,07/11/2010
7715,7715,Jesuit Ranger Roundup,Texas High School Cycling League,Andrew Armstrong,,,03/14/2010,
7809,7809,Capitol Reef Classic,Team SR3,Tina Andersen,,,07/16/2010,07/17/2010
7883,7883,Baddlands Cooper Jones Twilight Series,Baddlands Cycling Club,Alex Renner,,,04/13/2010,08/24/2010
7885,7885,NWCCC Regional Conference Championships,Washington State University,Keara Sheahan,,,04/24/2010,
7953,7953,International Cycling Classic,"Breakaway Event Productions, LLC",Andy Garrison,,,07/09/2010,07/25/2010
8096,8096,"Grand Junction, CO Criterium Series",Driver Racing,Mike Driver,Grand Junction,CO Criterium Series,03/30/2011,04/20/2011
8132,8132,Aspen/Snowmass Pro Women's Stage Race,AJAX Tavern Cycling Team,Jan Pieter Koorn,,,08/22/2011,08/24/2011
8134,8134,Para Cycling Challenge,U.S. Paralympics Cycling,Ian Lawless,,,08/23/2011,08/26/2011
8199,8199,$100K BBPA Racing Series - Snyder Park & Bank Atla,zMotion Cycling Team/Club,Keri Burns,,,04/16/2011,04/17/2011
8216,8216,Powerade Cycling Cup,Pro Cycling Miami,Johan Ismail,,,08/21/2011,
8280,8280,Georgia Games,Georgia Sports Foundation,Eric Pfeifer,,,07/09/2011,07/10/2011
8303,8303,2011 Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,04/03/2011,
8332,8332,Crosstober Nights,Coeur d 'Alene Velo Racers (CDAVR),Michael Gaertner,,,10/15/2011,
8354,8354,Black Partridge Open,Peoria Area Mountain Bike Association (PAMBA),Anthony Thaller,,,05/22/2011,
8457,8457,"Iowa Spring Classic 2, Hills/Iowa City IA",Goosetown Racing Club,Brett Griggs,,,03/12/2011,
8523,8523,Manions CX,Team Colavita/ Parisi Coffee,Britton Kusiak,,,09/24/2011,09/25/2011
8564,8564,L.A. 31 Vuelta de Acadiana,Acadiana Bicycle Company Racing,Glenn Richard,,,07/02/2011,07/03/2011
8683,8683,Cherry- Roubaix Criterium and State Championship R,Cherry-Roubaix Inc.,Bob McLain,,,08/13/2011,08/14/2011
8733,8733,"Tuffburg, SCRCS 1",R2W Cycling,Paul Pulsifer,Tuffburg,SCRCS 1,03/20/2011,
8758,8758,Lindenwood University MWCCC Regional Championships,Lindenwood University,Tim Norris,,,04/16/2011,04/17/2011
8772,8772,Hellbender,Rolla Multisport Club,Paul Joyner,,,06/18/2011,06/19/2011
8785,8785,Gateway Cross Cup,Michelob Ultra - Big Shark Racing,Michael Weiss,,,09/21/2011,
8818,8818,Callville Bay Classic,Wicked Cycling Inc,Mike Olsen,,,02/24/2011,02/27/2011
8820,8820,Sierra Nevada Hill Climb Time Trial Series,Reno Wheelmen,Spencer Ericksen,,,05/07/2011,08/07/2011
