,Unnamed: 0,event_name,promoter,director,city,state,Start_Date,End_Date
8852,8852,Attitash & Cranmore Mountain Cross Country and Dow,University of New Hampshire,Isabella Oleksy,,,10/08/2011,10/09/2011
8856,8856,Rutgers Scarlet Scurry,Rutgers University-New Brunswick,Nicholas Apostolopoulos,,,03/05/2011,03/06/2011
8880,8880,The Hills of Somerset County Road Race,Middle Earth,Daniel Puntillo,,,05/28/2011,
8898,8898,N.J STATE ROAD RACE CHAMPIONSHIP,Pro Pedals Bike Shop,Jason Bradley,,,07/17/2011,
8955,8955,Zoefitness Skills Clinic,Zoefitness,Zoe Nance,,,11/11/2011,
8958,8958,TRES CROSSES - Cross,ZiaVelo Cycling,David Rutledge,,,12/03/2011,
8960,8960,"Hayes Apple Farm, NM Cyclocross Series Final",Get Out! New Mexico,Antonia DeHorney,Hayes Apple Farm,NM Cyclocross Series Final,12/18/2011,
8975,8975,GVCC TT,Genesee Valley Cycling Club,Nancy Robertson,,,04/14/2011,09/22/2011
8976,8976,Kings County Kermesse,Kissena Cycling Club,Charles Issendorf,,,04/16/2011,
9026,9026,NY Capital Region Road Race,Capital Bicycle Racing Club,Paul McDonnell,,,08/20/2011,
9078,9078,Hobby Park - Southern Classic MTB Series Race #2,Cycletherapy,Jim Smalley,,,03/20/2011,
9079,9079,Dixie Classic Criterium Series,Hearts Racing Club,Matthew Canter,,,03/22/2011,06/28/2011
9081,9081,Wake Forest University Road Race Weekend,Wake Forest University,James McCabe,,,03/26/2011,03/27/2011
9101,9101,Powerade State Games of NC Mountain Bike Race,Hearts Racing Club,Ragan Williams,,,06/11/2011,
9103,9103,Powerade State Games of NC Criterium,Hearts Racing Club,Ragan Williams,,,06/19/2011,
9124,9124,Brenner Pro-Am Race - Fighting Childhood Obesity,Hearts Racing Club,Ken Putnam,,,09/10/2011,
9134,9134,Dixie Classic Cyclo Cross Series 'under the l,Hearts Racing Club,Ken Putnam,,,11/01/2011,11/22/2011
9142,9142,MerryCrossmas part deux,Mock Orange Bikes,Zach Lail,,,12/17/2011,12/18/2011
9190,9190,Ohio State Cyclocross Championship Day 1,Central Ohio Bicycle Club,Andys Burns,,,10/22/2011,
9247,9247,LIMESTONE CROSS AT THE KILN - ATLANTIC REGIONAL CH,Gotham Cyclists,Andrew Taus,CAMP OLYMPIC,RT29,01/15/2011,
9253,9253,PICC Spring Training Series- North East/Fairview,Presque Isle Cycling Club,Richard Sheasley,,,04/03/2011,05/15/2011
9255,9255,Fulton Road Race,Road Cycling League,Richard Ruoff,,,04/09/2011,
9266,9266,Tour de Ephrata,Road Cycling League,Richard Ruoff,,,04/30/2011,05/01/2011
9273,9273,Oxford Road Race,Road Cycling League,Richard Ruoff,,,05/21/2011,
9284,9284,Tour of Mt. Nebo,Road Cycling League,Michael Doupe,,,06/11/2011,
9299,9299,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/16/2011,07/17/2011
9316,9316,Wilkes-Barre Twilight Criterium,N.E. PA Cycling,Philip Cable,,,08/27/2011,
9340,9340,LIMESTONE CROSS AT THE KILN - ATLANTIC REGIONAL CH,Gotham Cyclists,Andrew Taus,CAMP OLYMPIC,RT29,12/11/2011,
9356,9356,2011 Rock Hill Bicycle Club Classic,Rock Hill Bicycle Club,Christian Reinke,,,04/02/2011,04/03/2011
9409,9409,TN State Championship,East TN Junior Cycling,Dennis Ley,,,07/09/2011,07/10/2011
9456,9456,Jesuit Ranger Roundup,North Texas Road Team,Andrew Armstrong,,,03/13/2011,
9531,9531,RPGA 'Escalera Loca' Cyclocross,Broken Films Racing,Michael (Joe) Paugh,,,11/20/2011,
9690,9690,Gravity East Series #1,Gravity East Series,Michael Baker,,,06/05/2011,
9770,9770,Fat Tire Challenge,USA Cycling Race Director,Chris Bowers,,,06/24/2012,
9854,9854,Mt Gaylor Time Trail/Arkansas State Hill Climb,River Valley Cycling,Amelia Baldwin,,,09/22/2012,
10000,10000,San Ardo Road Race,Golden Chain Cyclists,Robert Leibold,San Ardo,CA  93450,08/18/2012,
10008,10008,San Joaquin Valley Omnium,Central Sierra Cyclists,Steven Grusis,,,09/08/2012,09/09/2012
10014,10014,Parkfield Classic Mountain Bike Race,California Polytechnic-San Luis Obispo,Christopher Convis,,,09/22/2012,09/23/2012
10024,10024,'Placer Valley Grand Prix' presented by,Leadoutracing.com (CA),John Novikoff,,,09/30/2012,
10043,10043,Ideal Market WFM PRIMAL WEAR Boulder Crit Series,Whole Foods Market Giordana Scott Sports,Barry Lee,,,04/04/2012,08/29/2012
10052,10052,Cycling Recycling Junior Stage Race,Cycling Recycling,Gregory Berlind,,,04/27/2012,04/29/2012
10074,10074,Ute Valley Pro XCT powered by Rotor Bike USA,Whole Foods Market Giordana Scott Sports,Jayson Middlemiss,,,06/16/2012,06/17/2012
10159,10159,New Years Day Criterium,Cat One Fitness,Adam Baskin,,,01/01/2012,
10165,10165,2012 Spring Fling of cycling,USA Cycling Race Director,Keri Burns,,,01/28/2012,01/29/2012
10188,10188,$100K Bill Bone Pro Am  - Vista View/Parkland,PMInvestments Ventures LLC,Tim Molyneaux,,,04/14/2012,04/15/2012
10243,10243,USA CRITS SPEED WEEK NCC Weekend,USA Cycling Race Director,Rebecca Travieso,,,05/04/2012,05/06/2012
10272,10272,2012 Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,04/07/2012,
10303,10303,Crosstober Fest,Coeur d 'Alene Velo Racers (CDAVR),Michael Gaertner,,,11/03/2012,
10320,10320,Black Partridge Open,Peoria Area Mountain Bike Association (PAMBA),Anthony Thaller,,,05/20/2012,
10357,10357,Psycho Cross After Dark,Village-Verdigris Cycling,Ted Schweitzer,,,10/12/2012,10/13/2012
10365,10365,"Purdue Road Race, TTT and Circuit Race",Purdue University,Julian Toumey,Purdue Road Race,TTT and Circuit Race,04/14/2012,04/15/2012
10418,10418,"Iowa Spring Classic, Hills/Iowa City IA",Goosetown Racing Club,Brett Griggs,,,03/10/2012,
10485,10485,Manions CX,Team Colavita/ Parisi Coffee,Britton Kusiak,,,09/22/2012,09/23/2012
10507,10507,"VHP, TC & TCC 20K TT and Criterium",Vantage Health Plan/Team Colvin,Richard Dunn,VHP,TC & TCC 20K TT and Criterium,02/19/2012,
10548,10548,2012 Tour of Washington County Stage Race,Antietam Velo Club Inc,Joseph Jefferson,,,06/16/2012,06/17/2012
10615,10615,"Cherry- Roubaix TT, Criterium and State Championsh",Hagerty Racing,Jean Peters,,,08/10/2012,08/12/2012
10651,10651,Afton Road Race and Time Trial,The Bikery Du Nord,Olivier Vrambout,,,06/23/2012,
10660,10660,"HONOR RIDE Minneapolis, MN  (UHC)",Ride 2 Recovery,Danny Lupold,HONOR RIDE Minneapolis,MN  (UHC),08/11/2012,
10710,10710,Gateway Cross Cup,Michelob Ultra - Big Shark Racing,Michael Weiss,,,09/26/2012,
10742,10742,Last Chance Cyclocross,Team Great Divide,William Tietz,,,09/16/2012,
10768,10768,Sierra Nevada Hill Climb Time Trial Series,Reno Wheelmen,Spencer Ericksen,,,05/06/2012,08/05/2012
10771,10771,Little City Stage Race,Team Specialized Racing,Bubba Melcher,,,07/07/2012,07/08/2012
10793,10793,The Frozen Toed Season Opener,Rutgers University-New Brunswick,George Ghanim,,,03/03/2012,03/04/2012
10812,10812,The Hills of Somerset County Road Race,Middle Earth,Daniel Puntillo,,,05/26/2012,
10833,10833,Heart House/CADV South Jersey Omnium,C C Evesham,Kenneth Mills,,,08/05/2012,
10837,10837,New Jersey State Masters and Juniors Criterium Cha,"Liberty Cycle, Inc.",Greg Cordasco,,,08/19/2012,
10838,10838,New Jersey Senior Criterium Championships,"Liberty Cycle, Inc.",Greg Cordasco,,,08/26/2012,
10847,10847,Cyclocross at Bubbling Springs,Team Town Cycle,David Van Wart,,,11/11/2012,
10882,10882,"Hayes Apple Farm, NM Cyclocross Series Final",Get Out! New Mexico,Antonia DeHorney,Hayes Apple Farm,NM Cyclocross Series Final,12/15/2012,
10925,10925,NY Capital Region Road Race,Capital Bicycle Racing Club,Paul McDonnell,,,07/28/2012,
10962,10962,Carolinas Pain Institute Road Race Weekend,Wake Forest University,James McCabe,,,03/03/2012,03/04/2012
10975,10975,SECCC Road Championships,Brevard College,Brian Sheedy,One Brevard College Dr.  Brevard,NC 28712,04/21/2012,04/22/2012
10980,10980,Hobby Park MTB Race,Paul's Racing/Paul's Cycling & Fitness Inc.,Dale Harrell,,,05/06/2012,
10984,10984,Powerade State Games of NC Mountain Bike Race,Hearts Racing Club,Ragan Williams,,,06/09/2012,
10986,10986,Powerade State Games of NC Criterium,Hearts Racing Club,Ragan Williams,,,06/17/2012,
10993,10993,Hanes Park Classic,Mock Orange Bikes,Zach Lail,,,07/29/2012,
11006,11006,Brenner Pro-Am Race - Fighting Childhood Obesity,Hearts Racing Club,Ken Putnam,,,09/08/2012,
11028,11028,"OSRS #6 â€“ Zanesfield, Ohio",Team Six One Four,Mark Farmer,,,04/29/2012,
11056,11056,Ohio State Cyclocross Championship Master & Junior,Central Ohio Bicycle Club,Andys Burns,,,10/20/2012,
11117,11117,Rock Lititz Tour,Road Cycling League,Richard Ruoff,,,04/28/2012,04/29/2012
11177,11177,LIMESTONE CROSS AT THE KILN - ATLANTIC REGIONAL CH,Gotham Cyclists,Andrew Taus,CAMP OLYMPIC,RT29,12/09/2012,
11274,11274,Jesuit Ranger Roundup,Texas High School Cycling League,Andrew Armstrong,,,03/11/2012,
11281,11281,The Classic,Greater Houston Cycling Foundation,Greg Sanders,,,04/14/2012,
11293,11293,GS Tenzing Criterium,GS Tenzing,Jim Byrd,,,05/27/2012,
11472,11472,INCXS- Blue HeronPark,Vicious Cycle,Jake Maedke,,,11/04/2012,
11482,11482,"Gravity East Series #5 Snowshoe, WV",Gravity East Series,Daniel McDonald,,,09/09/2012,
11543,11543,SCRD Rocket City Omnium,Rocket City Cycling Club,Jack Bice,,,07/20/2013,07/21/2013
11603,11603,BMC Spring Crit Series,Boston Mountain Cyclists,Jason Evans,,,03/12/2013,04/23/2013
11616,11616,Northwest Arkansas  Omnium,Boston Mountain Cyclists,Jason Evans,,,05/04/2013,05/05/2013
11669,11669,US Cup Bonelli Park Pro Triple Crown,"Team Big Bear Mtn Bikes, Inc.",Tom Spiegel,,,03/16/2013,03/17/2013
11787,11787,San Ardo Road Race,Golden Chain Cyclists,Robert Leibold,San Ardo,CA  93450,08/17/2013,
11819,11819,Parkfield Classic Mountain Bike Race,California Polytechnic-San Luis Obispo,Christopher Convis,,,10/12/2013,10/13/2013
11846,11846,Ideal Market Twin Peaks Mall Crits Presented by Ne,Whole Foods Market Giordana Scott Sports,Barry Lee,,,04/18/2013,08/15/2013
11952,11952,2013 Spring Fling of cycling,Cool Beans Racing,Keri Burns,,,01/26/2013,01/27/2013
11955,11955,Doral Cycling Classic,Pro Cycling Miami,Johan Ismail,,,02/03/2013,
11963,11963,Florida Pro Cycle Cup,Pro Cycling Miami,Johan Ismail,,,03/03/2013,
11964,11964,Orange Blossom Special,Naples Velo,Marilyn Cullinane,,,03/09/2013,03/10/2013
12029,12029,USA CRITS Speed Week A,USA Cycling Race Director,Rebecca Travieso,,,04/27/2013,05/01/2013
12077,12077,2013 Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,04/13/2013,
12084,12084,"Eagle bike park Super d, DH and Dual",USA Cycling Race Director,Darren Lightfield,Eagle bike park Super d,DH and Dual,05/25/2013,05/27/2013
12128,12128,Black Partridge Open,Peoria Area Mountain Bike Association (PAMBA),Anthony Thaller,,,05/19/2013,
12133,12133,O'Fallon Grand Prix Omnium,Metro East Cycling,Thomas Jackson,,,06/14/2013,06/16/2013
12215,12215,Flying Pig Roller Race,Twisted Spokes,Richard Gilmore,,,02/10/2013,
12217,12217,"Iowa Spring Classic, Hills/Iowa City IA",Goosetown Racing Club,Brett Griggs,,,03/17/2013,
12334,12334,"Greenbrier Challenge AMBC, MASS/MARC#1",Potomac Velo Club,James Carlson,Greenbrier Challenge AMBC,MASS/MARC#1,04/21/2013,
12404,12404,"Cherry-Roubaix TT, Criterium & State Championship",Cherry-Roubaix Inc.,Bob McLain,,,06/14/2013,06/16/2013
12419,12419,MiSCA Bloomer MTB XC,Michigan Scholastic Cycling Association,Stephen Kinley,,,09/14/2013,
12556,12556,Granite Gorge Cyclocross Race,Monadnock Cycling Club,Timothy Trotter,,,10/20/2013,
12577,12577,The Hills of Somerset County Road Race,Middle Earth,Maggie Navatto,,,05/25/2013,
12593,12593,N.J STATE ROAD RACE CHAMPIONSHIP,Pro Pedals Bike Shop,Jason Bradley,,,07/14/2013,
12612,12612,Cyclocross at Bubbling Springs,Team Town Cycle,David Van Wart,,,10/27/2013,
12636,12636,Sandia Peak X Country and Enduro,Sport Systems Mountaintop Cycling,Joanna Eckstein,,,08/24/2013,08/25/2013
12654,12654,Bard Campus Criterium,"Atwood Racing Services, LLC",Alan Atwood,,,03/24/2013,
12668,12668,the Women's Woodstock Cycling Grand Prix,USA Cycling Race Director,Martin Bruhn,,,05/12/2013,
12690,12690,NY Capital Region Road Race,Capital Bicycle Racing Club,Paul McDonnell,,,07/13/2013,
12735,12735,Brevard Race Weekend,Brevard College,Brian Sheedy,One Brevard College Dr.  Brevard,NC 28712,03/23/2013,03/24/2013
12742,12742,Lung Buster Time Trial Series,USA Cycling Race Director,Daphne Kirkwood,,,04/25/2013,08/15/2013
12753,12753,Hobby Park Mtb Race,Paul's Racing/Paul's Cycling & Fitness Inc.,Dale Harrell,,,06/09/2013,
12757,12757,Pisgah Omnium,USA Cycling Race Director,Daphne Kirkwood,,,07/05/2013,07/07/2013
12769,12769,The Brenner Fit Challenge & Bike race,Hearts Racing Club,Ken Putnam,,,09/07/2013,
12780,12780,All Hallow's Cyclocross Eve,Mock Orange Bikes,Zach Lail,,,10/27/2013,
12812,12812,Smiths Dairy Milk Race,Orrville Cycling Club,Michael Gorman,,,08/11/2013,
12841,12841,University of Oklahoma Cycling Land Ronde,University of Oklahoma,James Snodgrass,Lake Draper,Norman,03/09/2013,03/10/2013
12854,12854,WHEELER DEALER MOUNTAIN BIKE FESTIVAL,CRUNCH Productions,Christian Combs,ROMAN NOSE STATE PARK,HWY 8 A,06/23/2013,
12951,12951,LIMESTONE CROSS AT THE KILN MAC FINAL #9,Gotham Cyclists,Andrew Taus,CAMP OLYMPIC,RT29,12/15/2013,
12959,12959,2013 Rock Hill Bicycle Club Classic,Rock Hill Bicycle Club,Christian Reinke,,,04/06/2013,04/07/2013
13048,13048,Jesuit Ranger Roundup,Texas High School Cycling League,Andrew Armstrong,,,03/10/2013,
13073,13073,GS Tenzing Criterium,GS Tenzing,Jim Byrd,,,05/26/2013,
13126,13126,Salt Lake Valley B4K Stage Race,Revolution Cafe Rio,Alex Kim,,,05/31/2013,06/01/2013
13140,13140,Huntsman World Senior Games,Huntsman World Senior Games,Merrill Barney,,,10/08/2013,10/11/2013
13199,13199,Tech Cross,Virginia Polytechnic University,Rebecca Stimson,,,11/09/2013,11/10/2013
13209,13209,University of Washington Omnium 2013,University of Washington-Seattle,Kelly Plese,,,04/06/2013,04/07/2013
13253,13253,Lost River Classic,National Capital Velo Club/UnitedHealthcare,William Luecke,,,07/20/2013,
13267,13267,Friday Night Sprints,RPM Cycling/ Belle City,Leonard Cabaltera,,,05/17/2013,08/16/2013
13284,13284,"Reforestation Ramble, WORS 2013 #9",USA Cycling Race Director,Don Edberg,Reforestation Ramble,WORS 2013 #9,08/25/2013,
13397,13397,Roger Millikan Memorial Cycling Race,Canyon Velo,Carl Moler,,,02/09/2014,
13420,13420,US Cup /Kenda Cup Bonelli Park,USA Cycling Race Director,Tom Spiegel,,,03/15/2014,03/16/2014
13443,13443,WCC Conference Championships Presented by Fresno State Bulldog Cycling,California State University-Fresno,Tadeh Issakhanian,,,04/26/2014,04/27/2014
13446,13446,Kenda Cup Bonelli Park,USA Cycling Race Director,Tom Spiegel,,,04/27/2014,
13520,13520,San Ardo Road Race,Golden Chain Cyclists,Robert Leibold,San Ardo,CA  93450,08/16/2014,
13539,13539,Summer Classic Criterium,San Diego Cyclo Vets,Jacobo Melcer,,,09/21/2014,
13596,13596,Deer Trail Road Race,Swift Cycling,Stephen Haydel,Deer Trail,CO 80105,06/21/2014,
13598,13598,US Cup /Kenda Cup Colorado Springs,USA Cycling Race Director,Tom Spiegel,,,06/28/2014,06/29/2014
13763,13763,2014 Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,04/12/2014,
13790,13790,Wild West Finals in CD'A,Coeur d 'Alene Velo Racers (CDAVR),Michael Gaertner,,,11/15/2014,
13809,13809,O'Fallon Grand Prix,Metro East Cycling,Thomas Jackson,,,06/13/2014,06/14/2014
13887,13887,"Iowa Spring Classic, Hills/Iowa City IA",Goosetown Racing Club,Brett Griggs,,,04/06/2014,
13970,13970,Feliciana Road Race,GEAUX Race,Chris LeMoine,,,05/25/2014,
13975,13975,LA / MS Four Man Team Time Trial Championship,Bayou Country Cyclists Inc- Green Team,Matt Trahan,,,08/09/2014,
13981,13981,19th Annual Parrot Head Bike Ride for Our Environment,GEAUX Race,Chris LeMoine,,,10/04/2014,
14013,14013,AACX at South River Farm,Annapolis Bicycle Racing Team,Iain Banks,,,10/26/2014,
14024,14024,Ken Harrod Memorial Road Race,Minuteman Road Club,William Turner,,,05/31/2014,
14027,14027,Longsjo Classic,"Atwood Racing Services, LLC",Alan Atwood,,,06/27/2014,06/29/2014
14064,14064,Hines Park TIme Trial,fredericjames LLC,Fred Nemenski,,,07/27/2014,
14076,14076,Michigan Technological University Collegiate Mountain Race,Michigan Technological University,Anthony Bacon,,,10/04/2014,10/05/2014
14115,14115,O'Fallon Cup Criterium,Momentum Racing LLC - MO,Jeff Maassen,,,05/17/2014,
14141,14141,Gateway Cross Cup,Michelob Ultra - Big Shark Racing,Michael Weiss,,,10/25/2014,10/26/2014
14205,14205,Pedal Power Race Series,USA Cycling Race Director,Jason Bradley,,,03/02/2014,03/16/2014
14227,14227,N.J STATE ROAD RACE CHAMPIONSHIP,Pro Pedals Bike Shop,Jason Bradley,,,06/01/2014,
14240,14240,Pinecone Circuit Road Race,Pro Pedals Bike Shop,Jason Bradley,,,08/17/2014,
14300,14300,the Women's Woodstock Cycling Grand Prix,USA Cycling Race Director,Martin Bruhn,,,05/03/2014,
14318,14318,Coeyman's Hollow Time Trial,USA Cycling Race Director,M Andrew Ruiz,,,06/18/2014,
14328,14328,NY Capital Region Road Race,Capital Bicycle Racing Club,Paul McDonnell,,,07/12/2014,
14366,14366,Dixie Classic Criterium Series,Hearts Racing Club,Ken Putnam,,,03/18/2014,06/17/2014
14370,14370,"Duke Cycling Road Race, TTT, and Ninth Street Derby",Duke University,Steven Boyd,Duke Cycling Road Race,and Ninth Street Derby,03/29/2014,03/30/2014
14394,14394,Hobby Park - Southern Classic MTB Series Race #10,Cycletherapy,Jim Smalley,,,08/02/2014,08/03/2014
14404,14404,Ninja Cross at SECCA,Mock Orange Bikes,Zach Lail,,,09/28/2014,
14434,14434,OSRS #6  Road Race &  TT Bonus,Queen City Wheels,Jeffrey Seeley,,,05/03/2014,
14492,14492,St. Crispin's Day Massacre,,,,,10/19/2014,
14521,14521,Nicole Reinhart Memorial Tour de FCCC,USA Cycling Race Director,Zachary Houlik,,,07/26/2014,07/27/2014
14592,14592,Milligan College Cycling Classic,Milligan College,Zachary Nave,,,04/05/2014,04/06/2014
14669,14669,Camp Eagle Classic Mountain Bike Festival,Texas Mountain Bike Racing Association,Lisa Nye-Salladin,,,08/30/2014,
14670,14670,Camp Eagle Classic Mountain Bike Festival,Texas Mountain Bike Racing Association,Lisa Nye-Salladin,,,08/30/2014,
14742,14742,Dam Wrightsvile Cyclo cross race,Onion River Sports,Andrew Brewer,"Wrightsville Beach Recreation District in Montpelier, VT. 369 Vermont Rt 12",Vermont 05602,11/01/2014,
14845,14845,Friday Night Sprints,Cerious Speed Serenity,Jonathan Fraley,,,05/30/2014,08/29/2014
14890,14890,Santa Catalina Omnium and Oracle Road Race,University of Arizona,Joseph Iuliano,,,01/31/2015,02/01/2015
14985,14985,US Cup / Bonelli Park XC #1,"Team Big Bear Mtn Bikes, Inc.",Tom Spiegel,,,03/14/2015,03/15/2015
15001,15001,US Cup / Bonelli Park XC #2,"Team Big Bear Mtn Bikes, Inc.",Tom Spiegel,,,04/11/2015,04/12/2015
15048,15048,805 Criterium Weekend Omnium p/b Explore Lompoc,USA Cycling Race Director,Michael Hecker,,,06/19/2015,06/21/2015
15316,15316,2015 Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,04/04/2015,
15321,15321,Knobby 9 to 5 Ultra-Endurance,Broken Spoke Cycling,Hal Miller,,,06/06/2015,
15331,15331,Coeur d' Alene Twilight Criterium,Coeur d 'Alene Velo Racers (CDAVR),Michael Gaertner,,,09/25/2015,
15338,15338,Wild West Finals in CD'A,Coeur d 'Alene Velo Racers (CDAVR),Michael Gaertner,,,11/07/2015,11/08/2015
15354,15354,O'Fallon Grand Prix Omnium,Metro East Cycling,Thomas Jackson,,,06/19/2015,06/21/2015
15397,15397,Fat & Skinny Tire Fest,USA Cycling Race Director,Thomas Wogoman,,,05/15/2015,05/17/2015
15422,15422,"Iowa Spring Classic, Hills/Iowa City IA",Goosetown Racing Club,Brett Griggs,,,03/08/2015,
15517,15517,Greenbrier Challenge AMBC/MASS/MARC,Potomac Velo Club,James Carlson,,,05/17/2015,
15545,15545,Longsjo Classic,"Atwood Racing Services, LLC",Alan Atwood,,,06/26/2015,06/28/2015
15576,15576,Hines Park MI State Time Trial,fredericjames LLC,Fred Nemenski,,,07/19/2015,
15649,15649,Truman Cup Sugar Creek Circuit Race & Square Criterium,Jacomo Racing p/b Alloy Wheel Repair Specialists,Jason Rew,,,07/25/2015,07/26/2015
15655,15655,Lindenwood University MTB Fall Challenge,Lindenwood University,Julie Carter,,,09/12/2015,09/13/2015
15767,15767,Blueberry  Time Trial-NJ ITT,Pro Pedals Bike Shop,Jason Bradley,,,07/18/2015,
15772,15772,Pinecone Circuit Road Race,Pro Pedals Bike Shop,Jason Bradley,,,08/16/2015,
15782,15782,Bubblecross! Cyclocross at Bubbling Springs - NJBA CX Cup Event,Team Town Cycle,Mary VanWart,,,11/01/2015,
15812,15812,Cruces 'Cross,ZiaVelo Cycling,David Rutledge,,,12/05/2015,
15825,15825,The Women's Woodstock Cycling Grand Prix,USA Cycling Race Director,Martin Bruhn,,,05/02/2015,
15884,15884,Dixie Classic Criterium Series,Hearts Racing Club,Ken Putnam,,,03/24/2015,06/23/2015
15903,15903,Cross Country Racingwith Cycletherapy @ Hobby Park 2015,Cycletherapy,Jim Smalley,,,06/07/2015,
15961,15961,Tour of Ohio,Kreitler Racing Team,Luanne Murray,,,09/03/2015,
16017,16017,Ice Breaker Road Race,Bobs Bicycles Cycling Club,Robert Hoene,,,03/22/2015,
16111,16111,Milligan College Cycling Classic,Milligan College,Zachary Nave,,,04/11/2015,04/12/2015
16192,16192,Camp Eagle Classic Mountain Bike Festival,Texas Mountain Bike Racing Association,Lisa Nye-Salladin,,,09/05/2015,
16193,16193,Camp Eagle Classic Mountain Bike Festival,Texas Mountain Bike Racing Association,Lisa Nye-Salladin,,,09/05/2015,
16395,16395,Montana Enduro Series #4-The Grand Enduro,Gravity Guild,Christine Wike,,,08/02/2015,
